3_years_annualised_%_,on_going_charge_%_,name,asset_class
20.47,0.77,"
JP Morgan US Small Cap Growth Fund C Shares Net Income",North America
6.09,1.17,MI Somerset Emerging Markets Dividend Growth A Accumulation shares,Global
7.69,0.96,MI Somerset Global Emerging Markets Fund B Income shares,Global
20.32,0.87,Artemis US Select Fund I Acc GBP,North America
20.31,0.87,Artemis US Select Fund I Inc GBP,North America
5.48,1.02,"
Architas Multi Asset Blended Intermediate Fund Class A Inc",Alternatives and Other
19.52,0.88,"
UBS US Growth Fund Class C Accumulation Shares (Net)",North America
9.1,0.19,HSBC Global Strategy Dynamic Portfolio Accumulation C,Alternatives and Other
8.46,1.04,J O Hambro Capital Management Global Emerging Markets Opportunities Fund Sterling A,Global
7.73,0.96,MI Somerset Global Emerging Markets Fund B Accumulation shares,Global
3.27,0.67,Rathbone Multi Asset Total Return Portfolio S-Class Accumulation,Alternatives and Other
4.67,1.36,T. Bailey Dynamic A Accumulation,Alternatives and Other
8.27,0.65,Premier Diversified Growth Fund Class D Income Shares,Alternatives and Other
8.22,0.94,Rathbone Multi Asset Enhanced Growth Portfolio S-Class Accumulation,Alternatives and Other
5.3,1.08,"
Sarasin GlobalSar – Strategic Fund Class P Accumulation Shares",Alternatives and Other
5.23,0.22,Vanguard LifeStrategy 40% Equity Fund A Inc,Alternatives and Other
1.85,0.11,iShares UK Gilts All Stocks Index Fund (UK) H Inc,Bonds
12.54,1.08,Neptune Latin America Fund C Acc GBP,Alternatives and Other
8.93,0.88,Threadneedle European Fund Z Income GBP,Europe
7.82,0.24,Vanguard Target Retirement 2040 Fund Accumulation Shares,Alternatives and Other
7.79,1.19,Allianz Total Return Asian Equity C Inc,Asia and Emerging Markets
5.46,1.02,"
Architas Multi Asset Blended Intermediate Fund Class A Acc",Alternatives and Other
11.04,0.57,Baillie Gifford UK Equity Alpha Fund Class B Inc,UK
4.84,0.85,Santander Atlas Portfolio 5 IA,Alternatives and Other
6.85,0.92,Schroder European Fund Z Income GBP,Europe
5.23,0.22,Vanguard LifeStrategy 40% Equity Fund A Acc,Alternatives and Other
11.5,0.83,BlackRock UK Smaller Companies Fund Class S GBP Income,UK
9.54,0.87,BMO UK Smaller Companies Fund 2 Acc,UK
8.97,0.96,Fidelity Institutional Emerging Markets Fund W Acc,Asia and Emerging Markets
1.86,0.11,iShares UK Gilts All Stocks Index Fund (UK) H Acc,Bonds
4.97,0.78,LF Canlife Portfolio V Fund C Accumulation,Alternatives and Other
6.2,0.24,Vanguard Target Retirement 2020 Fund Accumulation Shares,Alternatives and Other
7.15,0.24,Vanguard Target Retirement 2030 Fund Accumulation Shares,Alternatives and Other
11.05,0.57,Baillie Gifford UK Equity Alpha Fund Class B Acc,UK
11.48,0.83,BlackRock UK Smaller Companies Fund Class S GBP Accumulation,UK
19.46,0.89,Artemis US Smaller Companies Fund I Acc GBP,North America
18.67,0.82,AXA Framlington American Growth Fund Z Acc,North America
10.06,0.91,Liontrust Sustainable Future UK Growth Fund Class 2 Net Accumulation,UK
6.88,0.92,Schroder European Fund Z Accumulation GBP,Europe
10.88,0.9,Threadneedle Asia Fund Z Accumulation GBP,Asia and Emerging Markets
8.92,0.88,Threadneedle European Fund Z Accumulation GBP,Europe
6.65,1.1,"
Architas Multi Asset Blended Progressive Fund Class A Acc",Alternatives and Other
18.65,0.82,AXA Framlington American Growth Fund Z Inc,North America
3.93,0.56,LF Prudential Risk Managed Active 2 P Income,Alternatives and Other
12.14,0.9,M&G Global Select Fund Sterling I Inc,Global
11.52,0.15,Vanguard FTSE Dev World ex UK Equity Index Acc,Global
10.65,0.43,Baillie Gifford Managed Fund B Inc,Alternatives and Other
3.37,0.73,HC Verbatim Multi-Index Portfolio 3 Fund A Shares,Alternatives and Other
18.25,0.84,Franklin US Opportunities Fund W(acc),North America
10.77,0.93,Merian Asia Pacific Fund U1 GBP Acc,Asia and Emerging Markets
3.95,0.56,LF Prudential Risk Managed Active 2 P Accumulation,Alternatives and Other
4.69,0.98,"
Architas Multi Asset Blended Moderate Fund Class A Inc",Alternatives and Other
10.64,0.43,Baillie Gifford Managed Fund B Acc,Alternatives and Other
10.09,0.91,Invesco Pacific Fund (UK) Y (Inc),Asia and Emerging Markets
18.0,0.9,Artemis US Equity Fund I Acc GBP,North America
4.6,1.29,Premier Liberation No. V Class C Income Shares,Alternatives and Other
9.38,0.81,HSBC World Selection - Adventurous Portfolio Income C,Alternatives and Other
2.26,0.32,Allianz Gilt Yield I Inc,Bonds
4.7,0.98,"
Architas Multi Asset Blended Moderate Fund Class A Acc",Alternatives and Other
10.09,0.91,Invesco Pacific Fund (UK) Y (Acc),Asia and Emerging Markets
5.57,0.8,Lazard European Smaller Companies Fund C Acc,Europe
4.59,1.29,Premier Liberation No. V Class C Accumulation Shares,Alternatives and Other
4.46,0.75,Threadneedle Managed Equity and Bond Fund Z Accumulation GBP,Alternatives and Other
7.48,0.84,AXA Framlington UK Mid Cap Z Inc,UK
8.73,0.84,Janus Henderson Institutional Global Responsible Managed Fund I Acc,Alternatives and Other
9.52,0.31,Legal & General Global Health & Pharmaceuticals Index Trust I Class Distribution,Global
7.48,0.84,AXA Framlington UK Mid Cap Z Acc,UK
10.12,0.79,AXA Rosenberg Global Z Acc,Global
11.62,1.0,NGAM Investment Funds U.K. ICVC - Harris Associates Global Concentrated Equity Fund N/A(GBP),Global
7.73,0.85,River and Mercantile UK Equity Smaller Companies Fund B Acc,UK
9.54,0.31,Legal & General Global Health & Pharmaceuticals Index Trust I Class Accumulation,Global
7.89,1.19,"
ASI Latin American Equity Fund I Acc",Alternatives and Other
13.75,0.86,Janus Henderson European Smaller Companies Fund I Acc,Europe
3.92,0.65,M&G European Corporate Bond Fund Sterling I Acc,Bonds
5.95,0.99,Threadneedle Managed Equity Focused Fund Z Accumulation GBP,Alternatives and Other
8.0,0.86,Janus Henderson European Selected Opportunities Fund I Inc,Europe
9.48,0.81,HSBC World Selection - Adventurous Portfolio Accumulation C,Alternatives and Other
8.59,0.86,Janus Henderson European Focus Fund I Acc,Europe
10.4,1.12,Legg Mason IF Martin Currie European Unconstrained Fund Class X Income,Europe
17.96,0.93,Legg Mason IF Martin Currie North American Fund Class X Accumulation,North America
1.96,0.15,Vanguard U.K. Government Bond Index Fund GBP Income,Bonds
17.88,0.7,M&G North American Dividend Fund Sterling I Inc,North America
10.28,0.82,"
BNY Mellon Investment Funds - Newton Global Opportunities Fund Institutional W Income",Global
8.02,0.86,Janus Henderson European Selected Opportunities Fund I Acc,Europe
11.29,1.78,JPM Multi-Manager Growth Fund C - Net Income,Global
5.5,1.22,Pictet-Timber I dy GBP,Alternatives and Other
11.75,1.02,Schroder Asian Alpha Plus Fund Z Income GBP,Asia and Emerging Markets
1.97,0.15,Vanguard U.K. Government Bond Index Fund GBP Accumulation,Bonds
4.46,1.3,ASI Multi-Manager Diversity Fund Class D Net Acc,Alternatives and Other
10.28,0.82,"
BNY Mellon Investment Funds - Newton Global Opportunities Fund Institutional W Accumulation",Global
17.87,0.7,M&G North American Dividend Fund Sterling I Acc,North America
17.52,0.82,Threadneedle American Extended Alpha Fund Institutional Accumulation GBP,North America
11.16,0.86,Investec Global Equity I Acc GBP,Global
10.4,1.12,Legg Mason IF Martin Currie European Unconstrained Fund Class X Accumulation,Europe
11.74,1.02,Schroder Asian Alpha Plus Fund Z Accumulation GBP,Asia and Emerging Markets
11.39,0.96,BMO Pacific Equity Fund 2 Acc,Asia and Emerging Markets
5.57,0.57,BNY Mellon Investment Funds - Newton Index Linked Gilt Fund Institutional Accumulation,Bonds
5.27,1.05,Fidelity Investment Funds IV - Fidelity Multi Asset Open Strategic Fund N Acc,Alternatives and Other
10.98,0.71,Hermes Global Equity Fund Class F GBP Distributing,Global
3.85,1.03,"
Threadneedle Managed Bond Fund Institutional Accumulation GBP",Alternatives and Other
7.29,0.95,BMO Global Real Estate Securities Fund 2 Acc,Alternatives and Other
3.57,0.45,Architas Multi Asset Passive Prudent Fund Net Accumulation Shares,Alternatives and Other
6.2,0.95,Invesco Global Emerging Markets Fund (UK) Y (Inc),Global
7.49,1.06,Threadneedle Managed Equity Fund Z Accumulation GBP,Alternatives and Other
12.1,1.1,Hermes Global Emerging Markets Fund Class F GBP Distributing,Asia and Emerging Markets
13.68,0.88,Invesco UK Smaller Companies Equity Fund (UK) Y (Inc),UK
11.25,1.85,JPM Multi-Manager Growth Fund C - Net Accumulation,Global
6.2,0.95,Invesco Global Emerging Markets Fund (UK) Y (Acc),Global
12.38,0.98,Jupiter Global Managed I Inc,Global
3.44,1.0,Fidelity Investment Funds IV - Fidelity Multi Asset Open Defensive Fund N Acc,Alternatives and Other
13.67,0.88,Invesco UK Smaller Companies Equity Fund (UK) Y (Acc),UK
8.1,0.81,Marlborough Special Situations Fund Class P Acc,UK
4.22,1.55,Schroder Managed Wealth Portfolio Z Accumulation,Alternatives and Other
3.53,0.5,Architas Multi Asset Passive Prudent Fund D Net Accumulation Shares,Alternatives and Other
4.39,0.6,Capital Group Euro Corporate Bond Fund (LUX) Zd GBP,Bonds
1.88,0.92,"
Janus Henderson Institutional Long Dated Gilt Fund A Inc",Bonds
12.38,0.98,Jupiter Global Managed I Acc,Global
10.0,0.8,"
BNY Mellon Global Equity Fund Institutional W Income",Global
12.99,0.97,"
Sarasin Responsible Global Equity Fund (Class P Inc)",Global
3.9,1.13,"
Threadneedle Managed Bond Focused Fund Institutional Accumulation GBP",Alternatives and Other
9.64,1.21,"
ASI Asia Pacific Equity Fund I Acc",Asia and Emerging Markets
7.48,0.96,ASI Europe ex UK Smaller Companies Fund Platform 1-Acc-GBP-Unhedged,Europe
7.08,0.7,AXA Framlington Managed Balanced Fund Z GBP Inc,Alternatives and Other
10.0,0.8,"
BNY Mellon Global Equity Fund Institutional W Accumulation",Global
4.2,1.55,Schroder Managed Wealth Portfolio Z Income,Alternatives and Other
5.35,0.24,Vanguard Target Retirement 2015 Fund Accumulation Shares,Alternatives and Other
4.32,0.25,Fidelity Investment Funds IV - Fidelity Multi Asset Allocator Strategic Fund Y Acc,Alternatives and Other
15.03,1.05,First State Greater China Growth Fund Class B (Accumulation) GBP,Asia and Emerging Markets
12.83,0.87,Janus Henderson China Opportunities Fund I Acc,Asia and Emerging Markets
7.08,0.7,AXA Framlington Managed Balanced Fund Z GBP Acc,Alternatives and Other
11.53,0.63,Baillie Gifford Japanese B Inc,Japan
13.07,0.97,"
Sarasin Responsible Global Equity Fund (Class P Acc)",Global
9.64,0.83,"
Threadneedle European Select Fund Z Accumulation GBP",Europe
11.55,0.63,Baillie Gifford Japanese B Acc,Japan
13.7,0.78,Baillie Gifford Emerging Markets Growth Fund B Income,Asia and Emerging Markets
17.14,0.84,Marlborough US Multi-Cap Income Fund Class P Inc,North America
11.78,0.92,Liontrust Sustainable Future Managed Fund Class 2 Net Income,Alternatives and Other
9.16,0.94,Schroder Global Cities Real Estate Z Income GBP,Alternatives and Other
13.71,0.78,Baillie Gifford Emerging Markets Growth Fund B Accumulation,Global
4.67,1.16,LF Odey Opus Fund I Accumulation,Alternatives and Other
11.76,0.92,Liontrust Sustainable Future Managed Fund Class 6 Net Accumulation,Alternatives and Other
9.15,0.94,Schroder Global Cities Real Estate Z Accumulation GBP,Alternatives and Other
4.16,1.1,"
Threadneedle Managed Equity and Bond Fund Institutional Accumulation GBP",Alternatives and Other
13.6,0.89,Invesco Hong Kong & China Fund (UK) Y (Acc),Asia and Emerging Markets
4.18,0.99,Allianz RiskMaster Growth Multi Asset Fund Class C Shares Acc,Alternatives and Other
3.39,0.65,Architas Multi Asset Passive Prudent Fund Class A Acc,Alternatives and Other
13.95,0.78,Baillie Gifford Emerging Markets Leading Companies Fund B Income,Global
11.0,0.25,Fidelity Investment Funds IV - Fidelity Allocator World Fund Y Acc,Global
7.59,1.44,"
HSBC World Selection - Dynamic Portfolio Retail Accumulation",Alternatives and Other
7.57,1.44,"
HSBC World Selection - Dynamic Portfolio Retail Income",Alternatives and Other
12.1,0.98,"
Sarasin Food & Agriculture Opportunities Fund (Class P Acc)",Alternatives and Other
13.97,0.78,Baillie Gifford Emerging Markets Leading Companies Fund B Accumulation,Global
8.02,0.86,Janus Henderson Japan Opportunities Fund I Acc,Japan
6.25,1.32,"
Sarasin Fund of Funds Global Diversified Growth P Inc",Alternatives and Other
5.66,1.34,"
Threadneedle Managed Equity Focused Fund Institutional Accumulation GBP",Alternatives and Other
10.25,0.89,Hermes Europe ex-UK Equity Fund F GBP Inc,Europe
7.85,0.88,Stewart Investors Asia Pacific Leaders Fund Class B (Accumulation) GBP,Asia and Emerging Markets
7.85,0.88,Stewart Investors Asia Pacific Leaders Fund Class B (Income) GBP,Asia and Emerging Markets
10.71,0.6,Baillie Gifford Developed Asia Pacific Fund B Accumulation,Asia and Emerging Markets
12.43,0.9,Fidelity Asia Pacific Opportunities Fund W GBP Accumulation,Asia and Emerging Markets
4.84,1.32,HC Verbatim Portfolio 4 Fund B Acc,Alternatives and Other
16.8,0.94,MI Chelverton UK Equity Growth Fund B Income shares,UK
10.61,0.98,Barings Japan Growth Trust - Class I GBP Inc,Japan
7.95,0.9,JP Morgan Europe Smaller Companies Fund C Shares Net Income,Europe
16.8,0.94,MI Chelverton UK Equity Growth Fund B Accumulation shares,UK
7.68,1.33,BlackRock Global Funds - Latin American Fund D4 GBP,Alternatives and Other
5.31,1.34,HC Verbatim Portfolio 5 Growth Fund Class B Acc,Alternatives and Other
11.56,0.91,Threadneedle China Opportunities Fund Z Accumulation GBP,Asia and Emerging Markets
12.62,0.87,ASI Financial Equity Fund I Inc,Alternatives and Other
6.56,1.0,BMO Managed Growth Fund C Acc,Alternatives and Other
12.04,0.9,First State Asia Focus Fund Class B (Accumulation) GBP,Asia and Emerging Markets
11.97,0.94,Fidelity Asia Fund W Acc,Asia and Emerging Markets
0.0,1.05,Capital Group New World Fund (LUX) Zd GBP,Alternatives and Other
6.62,1.67,Marlborough Balanced Fund Class P Acc,Alternatives and Other
3.76,0.65,Threadneedle European Bond Fund Z Income GBP,Bonds
11.23,0.48,Vanguard Global Equity Fund A GBP Inc,Global
3.36,0.99,Allianz RiskMaster Moderate Multi Asset Fund Class C Shares Acc,Alternatives and Other
10.07,0.9,Janus Henderson Asia Pacific Capital Growth Fund I Acc,Asia and Emerging Markets
7.18,1.41,"
Threadneedle Managed Equity Fund Institutional Accumulation GBP",Alternatives and Other
11.23,0.48,Vanguard Global Equity Fund A GBP Acc,Global
8.67,1.46,"
HSBC World Selection - Adventurous Portfolio Retail Accumulation",Alternatives and Other
11.38,0.85,Investec Global Dynamic I Acc GBP,Global
4.04,1.24,HC Verbatim Portfolio 3 Fund B Acc,Alternatives and Other
13.73,0.77,"
Royal London Sustainable World Trust Class C Inc",Alternatives and Other
5.41,0.83,AXA Framlington UK Select Opportunities Fund ZI Acc,UK
13.72,0.77,"
Royal London Sustainable World Trust Class C Acc",Alternatives and Other
5.83,1.03,SVM UK Growth Institutional,UK
12.07,0.84,Investec Global Strategic Equity Fund I Acc GBP,Global
8.79,0.95,LF Miton Worldwide Opportunities Fund B Accumulation,Alternatives and Other
8.32,1.14,"
ASI Asia Pacific and Japan Equity Fund I Acc",Asia and Emerging Markets
4.63,1.4,Aviva Investors Multi-Manager 20-60% Shares Fund 2 GBP Acc,Alternatives and Other
4.63,1.4,Aviva Investors Multi-Manager 20-60% Shares Fund 2 GBP Inc,Alternatives and Other
16.1,1.19,Castlefield CFP SDL UK Buffettology Fund Institutional Income Shares,UK
12.01,0.98,"
Sarasin Food & Agriculture Opportunities Fund (Class P Inc)",Alternatives and Other
11.47,1.0,BlackRock Emerging Markets D Inc,Global
8.37,0.98,Stewart Investors Global Emerging Markets Sustainability Fund Class B (Accumulation) GBP,Alternatives and Other
5.09,1.22,ASI Emerging Markets Equity Fund I Acc,Global
3.95,0.61,ASI Euro Corporate Bond Fund Class I Inc,Bonds
13.64,0.87,"
ASI Europe ex UK Equity Fund I Acc",Europe
13.03,0.99,ASI UK Smaller Companies Fund Platform 1-Acc-GBP-Unhedged,UK
11.47,1.01,BlackRock Emerging Markets D Acc,Global
9.37,0.81,BMO Select European Equity Fund 2 Acc,Europe
17.01,1.0,NGAM Investment Funds U.K. ICVC - Loomis Sayles U.S. Equity Leaders Fund N/A(GBP),North America
2.84,0.52,Royal London Global Index Linked Fund M Inc,Bonds
9.95,0.88,Threadneedle European Smaller Companies Fund Z Accumulation GBP,Europe
12.65,0.92,Fidelity Global Special Situations Fund W Acc,Global
12.01,0.93,Schroder Global Equity Fund Z Accumulation GBP,Global
15.24,0.89,JPM Asia Growth Fund C - Net Accumulation,Asia and Emerging Markets
15.23,0.9,JPM Asia Growth Fund C - Net Income,Asia and Emerging Markets
12.44,1.0,LF Majedie Global Focus Fund - Class X GBP Accumulation,Global
16.59,0.83,Threadneedle American Fund Z Accumulation GBP,North America
14.81,0.92,TB Amati UK Smaller Companies B Acc,UK
10.45,0.78,Vanguard Global Emerging Markets Fund A GBP Acc,Asia and Emerging Markets
8.13,1.33,Architas Multi Asset Active Growth Fund S Net Income Shares,Alternatives and Other
11.52,0.81,FP Octopus International Equity B Acc,Global
10.68,0.86,M&G Global Themes Fund Sterling I Acc,Global
8.12,1.33,Architas Multi Asset Active Growth Fund S Net Accumulation Shares,Alternatives and Other
6.85,0.89,AXA Framlington Emerging Markets Z GBP Inc,Global
4.35,0.84,Unicorn Outstanding British Companies Institutional Acc,UK
6.86,0.89,AXA Framlington Emerging Markets Z GBP Acc,Global
8.39,1.1,BlackRock Global Funds - Asian Dragon Fund D4 GBP,Asia and Emerging Markets
13.29,0.98,LF Gresham House UK Micro Cap Fund C Income,UK
21.43,0.65,Lindsell Train Global Funds plc - Lindsell Train Global Equity Fund B GBP Inc,Global
9.83,0.96,Stewart Investors Asia Pacific Sustainability Fund Class B (Accumulation) GBP,Alternatives and Other
8.8,0.83,Allianz Continental European Fund Class C Shares Acc,Europe
10.38,1.11,FP Russell Investments ICVC - International Growth Assets Fund Class C Income,Global
10.39,1.11,FP Russell Investments ICVC - International Growth Assets Fund Class C Accumulation,Global
10.33,1.29,"
Legg Mason IF Martin Currie Emerging Markets Fund Class X Accumulation",Global
12.13,0.88,JPM Emerging Markets Fund C - Net Accumulation,Asia and Emerging Markets
13.28,0.98,LF Gresham House UK Micro Cap Fund C Accumulation,UK
12.1,0.91,JPM Emerging Markets Fund C - Net Income,Asia and Emerging Markets
16.59,0.83,Threadneedle American Fund Z Income GBP,North America
9.5,1.04,Goldman Sachs Emerging Markets Equity Portfolio R Inc GBP,Asia and Emerging Markets
5.47,0.84,Investec Global Multi-Asset Total Return Fund I GBP Acc,Alternatives and Other
10.0,1.11,Jupiter Fund of Investment Trusts I Acc,Global
14.88,0.87,"
ASI European Smaller Companies Fund I Acc",Europe
10.27,0.84,AXA Framlington UK Smaller Companies Fund Z GBP Acc,UK
21.8,0.32,Legal & General Global Technology Index Trust I Class Accumulation,Alternatives and Other
8.72,0.85,Marlborough UK Multi-Cap Growth Fund Class P Inc,UK
9.82,1.18,TB Wise Multi-Asset Growth B Acc,Alternatives and Other
10.44,0.59,Baillie Gifford European Fund B Accumulation,Europe
10.41,0.58,Baillie Gifford European Fund B Income,Europe
9.88,1.81,BMO Multi-Manager Investment Trust Fund C Acc,Alternatives and Other
4.22,1.56,IFSL Tilney Bestinvest Conservative Portfolio Clean Income,–
8.31,1.66,Janus Henderson Multi-Manager Global Select Fund I Acc,Global
11.84,0.79,JOHCM Global Select A GBP Inc,Global
15.33,0.89,BlackRock US Dynamic Fund D Income,North America
13.06,0.75,LF Majedie Global Equity Fund Class X GBP Accumulation,Global
7.28,0.97,Stewart Investors Worldwide Select Fund Class B (Accumulation) GBP,Global
4.19,1.56,IFSL Tilney Bestinvest Conservative Portfolio Clean Accumulation,–
13.6,0.89,Investec Asia Pacific Franchise Fund I Acc GBP,Asia and Emerging Markets
6.57,0.92,ASI Japanese Growth Equity Fund Platform 1-Acc-GBP-Unhedged,Japan
9.09,1.08,FP WHEB Sustainability Fund C GBP Income,Global
13.31,0.91,Artemis Global Select Fund I Acc,Global
15.31,0.89,BlackRock US Dynamic Fund D Accumulating,North America
10.48,0.93,BlackRock Continental European Fund D Acc,Europe
10.48,0.93,BlackRock Continental European Fund D Inc,Europe
14.91,0.06,Fidelity Index US Fund P Accumulation,North America
2.59,0.87,"
ASI Japanese Equity Fund I Acc",Japan
-1.04,1.17,BlackRock Gold and General Fund D Inc,Alternatives and Other
14.51,0.8,BNY Mellon Investment Funds - BNY Mellon Long-Term Global Equity Fund Institutional W Income,Global
9.88,1.08,Fidelity Funds - Asian Special Situations Fund W-DIST-GBP,Asia and Emerging Markets
11.36,0.95,Hermes Global Small Cap Equity Fund Class F GBP Distributing,Global
13.78,1.32,Legg Mason IF Martin Currie China Fund Class X Accumulation,Asia and Emerging Markets
11.02,0.92,BlackRock European Dynamic Fund FD Income,Europe
-1.04,1.17,BlackRock Gold and General Fund D Acc,Alternatives and Other
14.51,0.8,BNY Mellon Investment Funds - BNY Mellon Long-Term Global Equity Fund Institutional W Accumulation,Global
10.03,0.94,Merian UK Smaller Companies Fund U1 GBP Inc,UK
11.04,0.92,BlackRock European Dynamic Fund FD Accumulation,Europe
7.36,0.9,Capital Group Japan Equity Fund (LUX) Zd GBP,Japan
17.99,0.95,Fundsmith Equity I Acc,Global
17.99,0.95,Fundsmith Equity I Inc,Global
17.28,1.01,Jupiter UK Smaller Companies Fund I,UK
8.93,1.05,Lazard Developing Markets Fund C Acc,Global
10.03,0.94,Merian UK Smaller Companies Fund U1 GBP Acc,UK
11.1,1.19,Pictet-Water I dy GBP,Alternatives and Other
14.91,0.06,Fidelity Index US Fund P GBP Income,North America
11.11,0.9,Fidelity Emerging Asia Fund W-Accumulation,Asia and Emerging Markets
7.12,1.78,VT Greystone Balanced Managed Fund R Acc,Alternatives and Other
7.25,0.84,AXA Framlington Japan Fund Z GBP Acc,Japan
7.27,0.84,AXA Framlington Japan Fund Z INC,Japan
14.31,0.8,BMO Responsible Global Equity Fund 2 Acc,Global
4.46,0.6,Capital Group Euro Bond Fund (LUX) Zd GBP,Bonds
9.31,0.82,Unicorn Mastertrust B Inc,Alternatives and Other
7.13,1.78,VT Greystone Balanced Managed Fund R Inc,Alternatives and Other
14.31,0.81,BMO Responsible Global Equity Fund 2 Inc,Global
11.91,1.09,"
JPM Emerging Markets Fund B - Net Accumulation",Global
14.91,0.08,iShares US Equity Index Fund (UK) D Acc,North America
6.87,1.59,Premier Multi-Asset Global Growth C Acc,Alternatives and Other
14.15,0.84,Janus Henderson Global Sustainable Equity Fund I Inc,Global
12.14,0.9,M&G Global Select Fund Sterling I Acc,Global
14.22,0.93,Troy Trojan Global Equity O Acc,Global
14.21,0.93,Troy Trojan Global Equity O Inc,Global
13.45,0.73,Baillie Gifford Pacific B Inc,Asia and Emerging Markets
6.8,1.59,Premier Multi-Asset Global Growth Fund Class C Income Shares,Alternatives and Other
12.45,0.91,Threadneedle Pan European Focus Fund Z Accumulation GBP,Europe
6.32,1.5,Aviva Investors Multi-Manager 40-85% Shares Fund 2 GBP Acc,Alternatives and Other
6.32,1.5,Aviva Investors Multi-Manager 40-85% Shares Fund 2 GBP Inc,Alternatives and Other
13.46,0.73,Baillie Gifford Pacific B Acc,Asia and Emerging Markets
11.87,1.15,"
JPM Emerging Markets Fund B - Net Income",Global
10.57,0.79,Slater Growth Fund Class P Acc,UK
15.72,0.6,Baillie Gifford Global Alpha Growth Fund B Income,Global
7.69,1.06,GAM Star Japan Leaders Class Institutional GBP Accumulation,Japan
11.32,0.85,Marlborough UK Micro-Cap Growth Fund Class P Acc,UK
15.74,0.59,Baillie Gifford Global Alpha Growth Fund B Accumulation,Global
7.94,0.82,Goldman Sachs Japan Equity Portfolio R Inc GBP Snap,Japan
7.43,1.51,IFSL Tilney Bestinvest Aggressive Growth Portfolio Clean GBP Inc,Alternatives and Other
6.43,1.47,IFSL Tilney Bestinvest Growth Portfolio Clean GBP Acc,Alternatives and Other
6.42,1.47,IFSL Tilney Bestinvest Growth Portfolio Clean GBP Inc,Alternatives and Other
8.74,1.56,IFSL Tilney Bestinvest Maximum Growth Portfolio Clean Acc,–
8.73,1.56,IFSL Tilney Bestinvest Maximum Growth Portfolio Clean Inc,–
4.26,0.62,BlackRock Global Funds - Euro Bond Fund D4 GBP,–
7.44,1.51,IFSL Tilney Bestinvest Aggressive Growth Portfolio Clean GBP Acc,Alternatives and Other
14.14,0.84,Janus Henderson Global Sustainable Equity Fund I Acc,Global
13.58,0.98,VT Tyndall Global Select Fund Class B GBP Income,Global
7.54,1.32,BlackRock Global Funds -Sustainable Energy Fund D4 GBP,Alternatives and Other
17.79,0.94,LF Miton European Opportunities Fund B Accumulation,Europe
9.08,0.89,Stewart Investors Worldwide Sustainability Fund Class B (Income) GBP,Global
13.06,0.88,Capital Group New Perspective Fund (LUX) Zd GBP,Global
9.08,0.89,Stewart Investors Worldwide Sustainability Fund Class B (Accumulation) GBP,Global
7.69,1.06,GAM Star Japan Leaders Class Institutional GBP Income,Japan
14.69,1.02,Jupiter European I Acc,Europe
14.69,1.02,Jupiter European I Inc,Europe
16.18,0.6,Baillie Gifford International Fund B Income,Global
7.97,1.5,Troy Spectrum O Acc,Alternatives and Other
7.91,1.5,Troy Spectrum O Inc,Alternatives and Other
16.18,0.6,Baillie Gifford International Fund B Accumulation,Global
15.36,0.85,Threadneedle Global Select Fund Z Accumulation,Global
8.31,1.39,Schroder MM International Fund Z Accumulation GBP,Global
7.64,1.56,Aviva Investors Multi-Manager Flexible Fund 2 GBP Acc,Alternatives and Other
8.92,0.84,Man GLG Continental European Growth Fund Professional Accumulation Shares (Class C),Europe
12.3,1.0,Merian Global Equity Fund R GBP Acc,Global
14.23,0.81,Slater Recovery Fund Class P Acc,UK
14.87,0.06,HSBC American Index Fund Accumulation C,North America
14.86,0.06,HSBC American Index Fund Income C,North America
6.39,1.32,"
Sarasin Fund of Funds Global Diversified Growth P Acc",Alternatives and Other
10.0,0.92,Schroder Global Healthcare Fund Z Accumulation GBP,Global
10.01,0.92,Schroder Global Healthcare Fund Z Income GBP,Global
22.86,0.68,Cavendish AIM Fund B,UK
8.24,1.61,Close Strategic Alpha Fund X Acc,Alternatives and Other
15.21,0.9,Fidelity China Consumer Fund W-Accumulation,Asia and Emerging Markets
11.52,0.94,Goldman Sachs Global Equity Partners Portfolio R Inc GBP,Global
7.8,1.39,Margetts Opes Growth Fund R GBP Acc,Global
14.22,0.93,Fidelity Global Focus Fund W-Accumulation,Global
11.89,0.82,JPM Japan Fund C - Net Accumulation,Japan
5.91,0.11,iShares Index Linked Gilt Index Fund (UK) H Acc,Bonds
11.89,0.84,JPM Japan Fund C - Net Income,Japan
14.67,0.09,UBS S&P 500 Index Fund C Accumulation,North America
14.66,0.08,iShares North American Equity Index Fund (UK) H Acc,North America
15.66,1.08,Jupiter International Financials Fund I Acc,Alternatives and Other
15.24,0.85,Sentinel Enterprise Portfolio B Accumulation,Alternatives and Other
15.23,0.85,Sentinel Enterprise Portfolio Class B Inc,Alternatives and Other
14.54,0.85,Janus Henderson Global Equity Fund I Acc,Global
14.66,0.09,UBS S&P 500 Index Fund C Income,North America
14.53,0.55,JPM US Select Fund C - Net Accumulation,North America
14.46,0.1,Legal & General US Index Trust I Class Distribution,North America
13.86,0.93,Liontrust Sustainable Future Absolute Growth Fund Class 2 Net Accumulation,Alternatives and Other
15.51,0.88,Polar Capital Funds PLC - Polar Capital Global Insurance Fund I Acc,Alternatives and Other
17.05,0.53,Baillie Gifford Investment Funds II ICVC-Baillie Gifford Global Stewardship Fund B Accumulation,Global
14.45,0.1,Legal & General US Index Trust I Class Accumulation,North America
